ID,Name,Batch,Math,Science,English,History,Computer
STD0001,Suresh Gurung,A,46.0,98.0,44.0,75.0,39.0
STD0002,Nisha KC,C,98.0,75.0,95.0,99.0,40.0
STD0003,Prakash Thapa,B,47.0,75.0,84.0,43.0,64.0
STD0004,Kiran Gurung,C,94.0,69.0,79.0,54.0,45.0
STD0005,Rojina Gurung,C,35.0,43.0,97.0,71.0,63.0
STD0006,Manoj Basnet,A,98.0,,45.0,87.0,91.0
STD0007,Anil KC,C,73.0,87.0,53.0,50.0,79.0
STD0008,Prakash Shrestha,A,35.0,47.0,52.0,59.0,71.0
STD0009,Ramesh Gurung,C,98.0,54.0,70.0,65.0,45.0
STD0010,Laxmi Shrestha,B,95.0,55.0,62.0,43.0,61.0
STD0011,Prakash Poudel,B,81.0,82.0,89.0,44.0,80.0
STD0012,Samrat Gurung,C,37.0,53.0,93.0,46.0,45.0
STD0013,Sandhya KC,C,70.0,63.0,38.0,82.0,49.0
STD0014,Kabita Bhandari,A,95.0,86.0,41.0,58.0,70.0
STD0015,Dhoni Gurung,A,92.0,81.0,38.0,81.0,64.0
STD0016,Rita Bhandari,B,56.0,56.0,58.0,55.0,62.0
STD0017,Prakash Karki,C,40.0,84.0,98.0,38.0,91.0
STD0018,Anil Shrestha,B,49.0,84.0,87.0,48.0,
STD0019,Rojina KC,A,84.0,59.0,55.0,99.0,87.0
STD0020,Ramesh Bhandari,B,95.0,82.0,64.0,95.0,88.0
STD0021,Bhawana Gurung,A,46.0,,,59.0,71.0
STD0022,Dhoni Shrestha,A,73.0,44.0,87.0,78.0,36.0
STD0023,Bhawana Bhandari,B,96.0,53.0,86.0,49.0,63.0
STD0024,Sita Basnet,A,52.0,81.0,87.0,51.0,45.0
STD0025,Anil Poudel,C,97.0,92.0,58.0,61.0,89.0
STD0026,Shyam KC,C,52.0,100.0,92.0,37.0,85.0
STD0027,Sita KC,A,41.0,77.0,57.0,55.0,60.0
STD0028,Samrat Thapa,A,89.0,99.0,98.0,73.0,
STD0029,Ramesh Adhikari,C,70.0,60.0,46.0,85.0,57.0
STD0030,Hari Thapa,A,94.0,,69.0,72.0,92.0
STD0031,Dhoni Rai,C,70.0,77.0,79.0,84.0,66.0
STD0032,Ramesh Shrestha,A,38.0,90.0,75.0,89.0,52.0
STD0033,Hari Bhandari,A,,53.0,95.0,42.0,69.0
STD0034,Samrat Adhikari,C,55.0,94.0,69.0,60.0,68.0
STD0035,Sandhya Rai,C,44.0,78.0,55.0,65.0,38.0
STD0036,Sandhya Poudel,C,81.0,64.0,82.0,62.0,60.0
STD0037,Manoj Rai,C,92.0,56.0,64.0,41.0,89.0
STD0038,Kiran Thapa,A,82.0,82.0,95.0,41.0,88.0
STD0039,Rita Shrestha,B,79.0,74.0,,56.0,49.0
STD0040,Gita Adhikari,A,55.0,36.0,60.0,80.0,67.0
STD0041,Samrat Poudel,A,66.0,76.0,57.0,81.0,59.0
STD0042,Prakash Shrestha,A,76.0,71.0,66.0,51.0,57.0
STD0043,Rojina Adhikari,C,38.0,47.0,44.0,74.0,99.0
STD0044,Prakash Rai,C,97.0,94.0,87.0,42.0,75.0
STD0045,Laxmi Gurung,C,49.0,84.0,60.0,92.0,75.0
STD0046,Nisha Basnet,C,52.0,67.0,62.0,82.0,48.0
STD0047,Hari Shrestha,A,50.0,53.0,83.0,100.0,69.0
STD0048,Hari Karki,A,40.0,81.0,62.0,61.0,55.0
STD0049,Urmila Bhandari,C,52.0,94.0,99.0,79.0,39.0
STD0050,Rita Thapa,C,86.0,84.0,72.0,88.0,40.0
STD0051,Nisha Poudel,A,72.0,91.0,70.0,50.0,75.0
STD0052,Samrat Basnet,B,77.0,72.0,81.0,71.0,78.0
STD0053,Gita Gurung,C,62.0,92.0,38.0,90.0,76.0
STD0054,Ramesh KC,A,55.0,50.0,92.0,44.0,86.0
STD0055,Rita Karki,C,89.0,80.0,73.0,50.0,77.0
STD0056,Hari Karki,C,96.0,43.0,38.0,76.0,59.0
STD0057,Prakash Gurung,B,63.0,78.0,83.0,77.0,49.0
STD0058,Dhoni Shrestha,A,88.0,81.0,49.0,62.0,56.0
STD0059,Kiran KC,A,73.0,77.0,65.0,91.0,100.0
STD0060,Kabita Shrestha,A,72.0,,95.0,60.0,65.0
STD0061,Ramesh Rai,A,76.0,80.0,61.0,100.0,95.0
STD0062,Sita Thapa,B,68.0,94.0,63.0,51.0,84.0
STD0063,Bhawana Adhikari,C,76.0,46.0,50.0,,36.0
STD0064,Prakash Adhikari,C,98.0,63.0,40.0,38.0,47.0
STD0065,Gita KC,C,97.0,,96.0,99.0,38.0
STD0066,Kabita Karki,C,,73.0,64.0,66.0,92.0
STD0067,Sandhya Gurung,C,44.0,97.0,66.0,48.0,70.0
STD0068,Nisha Adhikari,A,82.0,37.0,52.0,85.0,57.0
STD0069,Nisha KC,B,65.0,71.0,57.0,86.0,73.0
STD0070,Urmila Thapa,B,63.0,39.0,35.0,47.0,37.0
STD0071,Hari Karki,A,42.0,79.0,89.0,84.0,38.0
STD0072,Samrat KC,C,67.0,78.0,42.0,77.0,44.0
STD0073,Bhawana Bhandari,A,40.0,61.0,57.0,82.0,62.0
STD0074,Gita Gurung,A,81.0,49.0,87.0,89.0,38.0
